user_id,education_level,field_of_study,percentage,has_ehr,has_hl7_fhir,has_medical_imaging,has_healthcare_security,has_telemedicine,has_iot_sensors,has_drone_ops,has_precision_ag,has_crop_modeling,has_soil_analysis,has_gis,has_smart_grid,has_traffic_mgmt,has_urban_iot,has_building_auto,num_courses,avg_course_grade,courses_names,num_projects,avg_project_complexity,num_certifications,certification_names,has_communication,has_teamwork,has_problem_solving,has_leadership,target_sector,target_role,skill_gap_score,time_to_ready_months,top_missing_skill
U0001,4,Data Science,60.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,60.19,Computer Vision; Advanced Algorithms; Database Systems; Machine Learning; Web Development; AI Fundamentals; Network Security; IoT Systems; Software Engineering,8,1.44,1,CompTIA Security+,1,1,1,0,Agriculture,Crop Analytics Engineer,35,7,Agricultural Statistics
U0002,2,Public Health,71.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,72.73,Natural Language Processing; AI Fundamentals; Data Structures,3,2.1,6,PMP; Google Cloud Professional; AWS Solutions Architect; Cisco CCNA; CISSP; Certified Ethical Hacker,0,0,0,1,Healthcare,Population Health Analyst,41,13,Epidemiology
U0003,3,Civil Engineering,82.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,81.39,Distributed Systems; Natural Language Processing; Database Systems; Big Data Analytics,9,1.76,4,Cisco CCNA; Azure Fundamentals; CISSP; Certified Analytics Professional,0,1,1,1,Agriculture,Precision Agriculture Specialist,30,9,GPS Systems
U0004,2,Software Engineering,91.96,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,93.13,Natural Language Processing; Web Development; Operating Systems; Data Structures; Distributed Systems; AI Fundamentals,4,2.02,2,Azure Fundamentals; CISSP,0,0,1,0,Urban,Building Automation Engineer,30,8,BMS Systems
U0005,3,Agricultural Engineering,80.86,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,77.38,Software Engineering; Machine Learning; Web Development; Distributed Systems; Deep Learning; Data Mining; IoT Systems,6,2.68,4,Certified Ethical Hacker; Tableau Desktop Specialist; Power BI Data Analyst; Google Cloud Professional,0,1,1,0,Agriculture,Agricultural IoT Developer,28,8,Sensor Networks
U0006,2,Environmental Engineering,90.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92.25,Cloud Architecture; Statistics; Distributed Systems; Web Development; Natural Language Processing; Operating Systems; Mobile Development; Advanced Algorithms; AI Fundamentals; Software Engineering; IoT Systems,6,1.8,6,Data Science Council Certified; Advanced Analytics Certification; Azure Fundamentals; CISSP; Certified Analytics Professional; TensorFlow Developer,1,0,0,0,Agriculture,Crop Analytics Engineer,29,11,Crop Simulation Models
U0007,2,Data Science,84.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78.95,Statistics; Advanced Algorithms; Cloud Architecture; Big Data Analytics; AI Fundamentals; Data Structures,9,2.61,4,CISSP; Advanced Analytics Certification; Cisco CCNA; PMP,1,1,1,1,Healthcare,Clinical Data Analyst,30,6,Statistical Methods
U0008,4,Computer Science,83.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,76.42,Software Engineering; Cloud Architecture; Operating Systems; Distributed Systems; Natural Language Processing; Database Systems,5,2.75,2,Data Science Council Certified; CISSP,0,0,0,0,Urban,Energy Systems Engineer,35,7,Smart Grid Technology
U0009,2,Agricultural Engineering,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,80.9,Software Engineering; Mobile Development; Operating Systems; Statistics; Computer Vision; AI Fundamentals; Cloud Architecture,5,2.94,1,Cisco CCNA,0,0,1,0,Healthcare,Population Health Analyst,42,9,Public Health Data
U0010,2,Mechanical Engineering,62.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,64.64,Computer Vision; Operating Systems; Deep Learning; IoT Systems; Software Engineering; Cloud Architecture; AI Fundamentals; Statistics; Distributed Systems; Data Structures; Natural Language Processing; Advanced Algorithms,4,2.34,5,Data Science Council Certified; Cisco CCNA; Advanced Analytics Certification; Power BI Data Analyst; Azure Fundamentals,0,1,0,0,Healthcare,Medical Imaging Specialist,39,12,Medical Image Processing
